A̱o,Trimestre,Ingresos (miles de pesos),Valor_dolar,Ingresos en USD
2023,4,167376014.8,940.0,178059.59021276596
2023,3,133106593.41,691.6666666666666,192443.2675807229
2023,2,118060280.28,481.8333333333333,245023.06526461433
2023,1,104134992.81,381.6666666666667,272842.7759213974
2022,4,72443482.9891497,314.6666666666667,230222.93322823
2022,3,64086784.3305304,289.1666666666667,221625.7671372809
2022,2,60419500.6232803,213.66666666666666,282774.5738999078
2022,1,55219313.0146503,206.5,267405.87416295544
2021,4,45467887.16501248,200.83333333333334,226396.11866396255
2021,3,42999944.292822465,181.33333333333334,237132.0457324768
2021,2,38239666.63354247,156.66666666666666,244082.97851197323
2021,1,36676371.36239245,145.16666666666666,252650.08975241642
2020,4,33539702.716311768,161.33333333333334,207890.71931598202
2020,3,31997444.530699246,137.5,232708.68749599453
2020,2,32102475.991463635,120.5,266410.58914077707
2020,1,29946216.452049132,79.08333333333333,378666.5937034664
2019,4,24169250.699015297,71.16666666666667,339614.76392058964
2019,3,21652748.444642507,56.15,385623.3026650491
2019,2,20743117.694006097,44.93333333333334,461642.08517817716
2019,1,20207413.77085243,39.803333333333335,507681.44470779074
2018,4,16637686.589009605,37.46,444145.39746421797
2018,3,15410980.692582969,34.99333333333333,440397.61933462473
2018,2,14319467.460713817,25.233333333333334,567482.1979146823
2018,1,13171459.230893355,20.296666666666667,648946.9156294969
2017,4,11226127.38858,18.426666666666666,609232.6730416064
2017,3,10065997.86215,18.05666666666667,557467.1143889606
2017,2,9678646.92829,16.38,590881.9858540904
2017,1,8701201.42137,16.28,534471.8317794839
2016,4,7483980.393279007,16.166666666666668,462926.6222646808
2016,3,6912441.538856647,15.506666666666666,445772.2402530082
2016,2,6534240.597500004,14.673333333333334,445313.98892548867
2016,1,5936844.886499999,15.023333333333333,395174.9425227423
2015,4,5376899.206,14.906666666666666,360704.3295617174
2015,3,5153738.8843600005,15.44,333791.3785207254
2015,2,4701790.719660001,12.893333333333333,364668.35984953475
2015,1,4876385.315070001,13.053333333333333,373573.9516141472
2014,4,3950440.78037,13.783333333333333,286609.9719736396
2014,3,3478637.7427996206,14.136666666666665,246071.99312423635
2014,2,3270816.20391,11.363333333333332,287839.50166412443
2014,1,2984054.2087800005,11.533333333333333,258733.023882659
